  Time            lo        
HH:MM:SS   KB/s in  KB/s out
12:13:31      0.00      0.00
12:13:31      0.00      0.00
12:13:31      0.00      0.00
12:13:31      0.00      0.00
12:13:32      0.00      0.00
12:13:32      0.00      0.00
12:13:32      0.00      0.00
12:13:32      0.00      0.00
12:13:32      0.00      0.00
12:13:32      0.00      0.00
12:13:32      0.00      0.00
12:13:32      0.00      0.00
12:13:32      0.00      0.00
12:13:32      0.00      0.00
12:13:33      0.00      0.00
12:13:33      0.00      0.00
12:13:33      0.00      0.00
12:13:33      0.00      0.00
12:13:33      0.00      0.00
12:13:33      0.00      0.00
12:13:33      0.00      0.00
12:13:33      0.00      0.00
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
12:13:33      0.00      0.00
12:13:33   1728.58   1728.58
12:13:34   7882.37   7882.37
12:13:34  13038.52  13038.52
12:13:34  15362.19  15362.19
12:13:34  14977.64  14977.64
12:13:34  13427.12  13427.12
12:13:34  13965.52  13965.52
12:13:34  14542.19  14542.19
12:13:34  13871.33  13871.33
12:13:34  13949.45  13949.45
12:13:34  13361.21  13361.21
12:13:35  12101.86  12101.86
12:13:35  13899.87  13899.87
12:13:35  11703.86  11703.86
12:13:35  14402.46  14402.46
12:13:35  14152.52  14152.52
12:13:35  13085.09  13085.09
12:13:35  10810.81  10810.81
12:13:35  10909.20  10909.20
12:13:35  12302.19  12302.19
12:13:35  14804.91  14804.91
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
12:13:36  14485.19  14485.19
12:13:36  14103.61  14103.61
12:13:36  11191.19  11191.19
12:13:36  11467.65  11467.65
12:13:36  13765.20  13765.20
12:13:36  12997.08  12997.08
12:13:36  11909.12  11909.12
12:13:36  10865.75  10865.75
12:13:36  10960.75  10960.75
12:13:36  12929.17  12929.17
12:13:37  13725.47  13725.47
12:13:37  13518.93  13518.93
12:13:37  11272.59  11272.59
12:13:37  10936.30  10936.30
12:13:37  14507.49  14507.49
12:13:37  11392.11  11392.11
12:13:37  12901.40  12901.40
12:13:37  13356.54  13356.54
12:13:37  11022.16  11022.16
12:13:37  14890.29  14890.29
12:13:38  13663.11  13663.11
12:13:38  11771.58  11771.58
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
12:13:38  11524.11  11524.11
12:13:38  10189.95  10189.95
12:13:38   9045.75   9045.75
12:13:38  13081.87  13081.87
12:13:38  13815.79  13815.79
12:13:38  14332.41  14332.41
12:13:38  11032.15  11032.15
12:13:38  12077.35  12077.35
12:13:39  10815.47  10815.47
12:13:39  10368.30  10368.30
12:13:39  13160.19  13160.19
12:13:39  13864.41  13864.41
12:13:39  13149.88  13149.88
12:13:39  12222.40  12222.40
12:13:39  13492.08  13492.08
12:13:39  13840.77  13840.77
12:13:39  10015.14  10015.14
12:13:39  10400.27  10400.27
12:13:40   9675.64   9675.64
12:13:40  12359.91  12359.91
12:13:40  14043.14  14043.14
12:13:40  13707.05  13707.05
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
12:13:40  13244.62  13244.62
12:13:40  12201.59  12201.59
12:13:40  10366.18  10366.18
12:13:40  10784.36  10784.36
12:13:40  10463.41  10463.41
12:13:40  10797.54  10797.54
12:13:41  10839.11  10839.11
12:13:41   9427.73   9427.73
12:13:41  13767.37  13767.37
12:13:41  14737.74  14737.74
12:13:41  14311.17  14311.17
12:13:41  14119.64  14119.64
12:13:41  13459.16  13459.16
12:13:41  11899.36  11899.36
12:13:41  10900.40  10900.40
12:13:41  11797.34  11797.34
12:13:42  10367.77  10367.77
12:13:42  10563.87  10563.87
12:13:42  11201.84  11201.84
12:13:42  12369.23  12369.23
12:13:42  13065.57  13065.57
12:13:42  12944.42  12944.42
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
12:13:42  13075.04  13075.04
12:13:42  13300.01  13300.01
12:13:42  13056.23  13056.23
12:13:42  12326.43  12326.43
12:13:43  12586.86  12586.86
12:13:43  10224.05  10224.05
12:13:43  11050.18  11050.18
12:13:43   6536.65   6536.65
12:13:43   7823.20   7823.20
12:13:43   7433.52   7433.52
12:13:43   8048.44   8048.44
12:13:43   6701.19   6701.19
12:13:43   7419.86   7419.86
12:13:43   6334.02   6334.02
12:13:44      0.51      0.51
12:13:44      0.00      0.00
12:13:44      0.00      0.00
12:13:44      0.00      0.00
12:13:44      0.00      0.00
12:13:44      0.00      0.00
12:13:44      0.00      0.00
12:13:44      0.00      0.00
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
12:13:44      0.00      0.00
12:13:44      0.00      0.00
12:13:45      0.00      0.00
12:13:45      0.00      0.00
12:13:45      0.00      0.00
12:13:45      0.00      0.00
12:13:45      0.00      0.00
12:13:45      0.00      0.00
12:13:45      0.00      0.00
12:13:45      0.00      0.00
12:13:45      0.00      0.00
12:13:45      0.00      0.00
12:13:46      0.00      0.00
12:13:46      0.00      0.00
12:13:46      0.00      0.00
12:13:46      0.00      0.00
12:13:46      0.00      0.00
